City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,80.58,light rain,22.0752,-159.319,Kapaʻa
2,Hilo,US,78.28,moderate rain,19.7297,-155.09,Hilo
3,Butaritari,KI,81.41,few clouds,3.0707,172.7902,Ukiangang
11,Novo Aripuana,BR,78.53,overcast clouds,-5.1206,-60.3797,Novo Aripuanã
12,Carutapera,BR,83.71,few clouds,-1.195,-46.02,Carutapera
15,Atuona,PF,78.06,light rain,-9.8,-139.0333,Atuona
19,Key West,US,87.8,few clouds,24.5557,-81.7826,Key West
21,Samarai,PG,82.13,overcast clouds,-10.6167,150.6667,Magesina
22,Arrecife,ES,75.18,clear sky,28.963,-13.5477,Arrecife
26,Delvada,IN,77.18,scattered clouds,20.7667,71.0333,Una
29,Sola,VU,81.59,broken clouds,-13.8833,167.55,Sola
30,Prado,BR,77.4,broken clouds,-17.3411,-39.2208,Prado
32,Tautira,PF,86.02,light rain,-17.7333,-149.15,Tautira
33,Cozumel,MX,87.87,scattered clouds,20.5083,-86.9458,San Miguel de Cozumel
38,Itarema,BR,81.88,clear sky,-2.9248,-39.9167,Itarema
39,Labuhan,ID,81.27,broken clouds,-6.8844,112.2051,Musholla Babut Taubat
46,Rosetown,CA,76.98,clear sky,51.5501,-108.0014,Rosetown
47,Rikitea,PF,75.63,clear sky,-23.1203,-134.9692,Rikitea
48,Koungou,YT,76.71,clear sky,-12.7336,45.2042,Mamoudzou
52,Pangkalanbuun,ID,75.81,overcast clouds,-2.6833,111.6167,Pangkalan Bun
64,Tevaitoa,PF,79.95,light rain,-16.7833,-151.5,Uturoa
66,Matara,LK,79.12,broken clouds,5.9485,80.5353,Matara
67,Touros,BR,81.5,clear sky,-5.1989,-35.4608,Touros
71,Umm Lajj,SA,84.36,clear sky,25.0213,37.2685,Umluj
76,San Patricio,US,77.09,overcast clouds,28.017,-97.5169,Sinton
77,Yaan,NG,75.47,scattered clouds,7.3833,8.5667,Iorjan
79,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Nukuhetulu
85,Georgetown,MY,78.89,few clouds,5.4112,100.3354,George Town
88,Itaituba,BR,89.76,thunderstorm,-4.2761,-55.9836,Itaituba
90,Hithadhoo,MV,81.7,broken clouds,-0.6,73.0833,Addu City
103,Puerto Ayora,EC,78.76,light rain,-0.7393,-90.3518,Puerto Ayora
110,Indiaroba,BR,79.07,broken clouds,-11.5192,-37.5117,Indiaroba
119,Padang,ID,77.83,overcast clouds,-0.9492,100.3543,Padang
122,Pinotepa Nacional,MX,89.55,overcast clouds,16.3167,-98.0167,Pinotepa Nacional
124,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Teluk Ambon
126,Sur,OM,80.26,clear sky,22.5667,59.5289,Sur
135,Lompoc,US,75.69,clear sky,34.6391,-120.4579,Lompoc
140,Nacala,MZ,76.64,clear sky,-14.5428,40.6728,Nacala
141,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Wilson Hill
151,Miranda,CO,78.93,overcast clouds,3.2499,-76.2281,Miranda
152,Sechura,PE,76.48,broken clouds,-5.5569,-80.8222,Sechura District
153,Bengkulu,ID,75.29,overcast clouds,-3.8004,102.2655,Bengkulu
157,Garango,BF,89.56,overcast clouds,11.8,-0.5506,Garango
158,Puerto Lempira,HN,82.54,thunderstorm,15.2667,-83.7667,Lempira
161,Mormugao,IN,80.44,broken clouds,15.4,73.8,Vasco da Gama
162,Maumere,ID,80.01,overcast clouds,-8.6199,122.2111,Maumere
163,Port-Gentil,GA,78.35,broken clouds,-0.7193,8.7815,Port-Gentil
164,Santa Rosa,PH,81.1,light rain,14.3122,121.1114,Santa Rosa
169,Cam Ranh,VN,76.96,scattered clouds,11.9214,109.1591,Cam Ranh
176,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Avarua District
178,San Fernando,PH,81.14,scattered clouds,15.0286,120.6898,San Fernando
179,Jaciara,BR,89.69,moderate rain,-15.9653,-54.9683,Jaciara
181,La Peca,PE,85.48,light rain,-5.6111,-78.435,La Peca
184,Rapid Valley,US,78.6,clear sky,44.0625,-103.1463,Rapid City
186,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Bairiki
187,Faanui,PF,80.11,light rain,-16.4833,-151.75,Vaitape
191,Jacareacanga,BR,76.78,overcast clouds,-6.2222,-57.7528,Jacareacanga
193,Areia Branca,BR,88.0,overcast clouds,-4.9561,-37.1369,Centro
194,Iquitos,PE,89.64,scattered clouds,-3.7481,-73.2472,Iquitos
209,Barreiras,BR,87.01,overcast clouds,-12.1528,-44.99,Barreiras
216,Tchaourou,BJ,76.73,light rain,8.8865,2.5975,Tchaourou
217,Goure,NE,86.02,clear sky,13.9835,10.2704,Gouré
223,Oussouye,SN,84.38,broken clouds,12.485,-16.5469,Oussouye
227,Isangel,VU,77.41,light rain,-19.55,169.2667,Isangel
230,Mecca,SA,86.83,clear sky,21.4267,39.8261,Mecca
236,Dingle,PH,75.97,few clouds,10.9995,122.6711,Pototan
241,Noumea,NC,78.01,clear sky,-22.2763,166.4572,Nouméa
246,Kloulklubed,PW,84.16,overcast clouds,7.0419,134.2556,Klouklubed
250,Lake City,US,78.55,clear sky,30.1897,-82.6393,Lake City
254,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Cayenne
256,Saint-Georges,GD,84.58,few clouds,12.0564,-61.7485,Saint George's
264,Sao Filipe,CV,78.73,clear sky,14.8961,-24.4956,Sao Filipe
267,Balikpapan,ID,75.4,moderate rain,-1.2675,116.8289,Balikpapan
270,Carlagan,PH,79.3,moderate rain,14.975,122.0456,Burdeos
274,Lorengau,PG,81.9,overcast clouds,-2.0226,147.2712,Lorengau
276,Kavieng,PG,82.44,few clouds,-2.5744,150.7967,Kavieng
278,Linhares,BR,77.47,overcast clouds,-19.3911,-40.0722,Linhares
286,Tessalit,ML,87.46,clear sky,20.1986,1.0114,Achemelmel
287,Araouane,ML,88.3,clear sky,18.9048,-3.5265,Araouane
308,Salalah,OM,78.89,scattered clouds,17.0151,54.0924,Salalah
310,Hobyo,SO,78.37,overcast clouds,5.3505,48.5268,Hobyo
312,Tacoronte,ES,75.52,clear sky,28.4769,-16.4102,Tacoronte
314,Aden,YE,87.67,overcast clouds,12.7794,45.0367,Aden
318,Rabaul,PG,79.75,overcast clouds,-4.1967,152.1721,Rabaul
