City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,80.58,76,40,5.99,light rain
1,Saldanha,ZA,-33.0117,17.9442,57.99,77,0,14.9,clear sky
2,Hilo,US,19.7297,-155.09,78.28,87,90,4.61,moderate rain
3,Butaritari,KI,3.0707,172.7902,81.41,73,12,12.12,few clouds
4,Yellowknife,CA,62.456,-114.3525,36.41,99,90,5.75,overcast clouds
5,Rio Gallegos,AR,-51.6226,-69.2181,66.25,24,0,19.57,clear sky
6,Cape Town,ZA,-33.9258,18.4232,57.27,67,0,1.01,clear sky
7,Tasiilaq,GL,65.6145,-37.6368,26.76,54,43,7.94,scattered clouds
8,Alekseyevka,RU,50.6309,38.6903,46.27,78,14,6.46,few clouds
9,Castro,BR,-24.7911,-50.0119,58.32,98,100,6.67,overcast clouds
10,Airai,TL,-8.9266,125.4092,61.27,90,8,1.88,clear sky
11,Novo Aripuana,BR,-5.1206,-60.3797,78.53,83,99,5.14,overcast clouds
12,Carutapera,BR,-1.195,-46.02,83.71,69,14,9.15,few clouds
13,Narsaq,GL,60.9167,-46.05,37.62,49,33,3.65,scattered clouds
14,Iglesias,IT,39.3114,8.535,62.02,82,27,1.74,scattered clouds
15,Atuona,PF,-9.8,-139.0333,78.06,77,81,18.63,light rain
16,Owatonna,US,44.0839,-93.226,70.39,33,1,3.0,clear sky
17,Barrow,US,71.2906,-156.7887,21.22,79,90,4.61,heavy snow
18,Pokrovka,KG,42.3414,78.0056,42.89,45,0,7.2,clear sky
19,Key West,US,24.5557,-81.7826,87.8,62,20,6.91,few clouds
20,Jamestown,US,42.097,-79.2353,53.19,89,55,5.99,broken clouds
21,Samarai,PG,-10.6167,150.6667,82.13,80,100,11.43,overcast clouds
22,Arrecife,ES,28.963,-13.5477,75.18,83,0,6.91,clear sky
23,Punta Arenas,CL,-53.15,-70.9167,50.11,66,0,23.02,clear sky
24,Lagoa,PT,39.05,-27.9833,69.76,84,28,19.48,scattered clouds
25,Mikhaylovka,RU,50.06,43.2379,49.78,79,83,2.08,broken clouds
26,Delvada,IN,20.7667,71.0333,77.18,69,42,12.5,scattered clouds
27,Port Elizabeth,ZA,-33.918,25.5701,53.1,93,90,8.05,moderate rain
28,Albany,US,42.6001,-73.9662,57.15,82,99,13.27,overcast clouds
29,Sola,VU,-13.8833,167.55,81.59,77,76,17.16,broken clouds
30,Prado,BR,-17.3411,-39.2208,77.4,79,62,11.3,broken clouds
31,Muros,ES,42.7762,-9.0603,68.85,94,100,8.3,overcast clouds
32,Tautira,PF,-17.7333,-149.15,86.02,79,55,21.36,light rain
33,Cozumel,MX,20.5083,-86.9458,87.87,75,40,3.0,scattered clouds
34,Havre-Saint-Pierre,CA,50.2334,-63.5986,55.99,100,90,20.71,mist
35,Porto Santo,PT,33.072,-16.3415,71.51,88,40,6.91,scattered clouds
36,Kambove,CD,-10.8764,26.5969,71.73,46,67,2.98,broken clouds
37,Blankenburg,DE,51.7833,10.95,47.12,79,100,4.29,overcast clouds
38,Itarema,BR,-2.9248,-39.9167,81.88,76,6,17.49,clear sky
39,Labuhan,ID,-6.8844,112.2051,81.27,79,74,5.97,broken clouds
40,Busselton,AU,-33.65,115.3333,49.05,79,23,7.49,few clouds
41,Olafsvik,IS,64.8945,-23.7142,35.01,96,100,18.97,snow
42,Charcas,MX,23.1333,-101.1167,68.04,49,72,9.62,broken clouds
43,Bluff,NZ,-46.6,168.3333,50.95,87,99,12.39,overcast clouds
44,Port Alfred,ZA,-33.5906,26.891,55.33,71,49,14.83,light rain
45,Hermanus,ZA,-34.4187,19.2345,54.9,63,58,5.32,broken clouds
46,Rosetown,CA,51.5501,-108.0014,76.98,15,5,6.91,clear sky
47,Rikitea,PF,-23.1203,-134.9692,75.63,73,8,13.89,clear sky
48,Koungou,YT,-12.7336,45.2042,76.71,78,0,10.36,clear sky
49,Springbok,ZA,-29.6643,17.8865,51.67,46,0,11.9,clear sky
50,Mataura,NZ,-46.1927,168.8643,49.6,99,100,6.24,overcast clouds
51,Jiquinlaca,HN,14.0,-88.35,90.79,66,94,3.89,overcast clouds
52,Pangkalanbuun,ID,-2.6833,111.6167,75.81,94,100,1.86,overcast clouds
53,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,88,75,8.05,broken clouds
54,Taltal,CL,-25.4,-70.4833,63.75,61,23,6.31,few clouds
55,Nanortalik,GL,60.1432,-45.2371,36.05,86,97,5.88,overcast clouds
56,Marawi,PH,7.9986,124.2928,66.65,94,23,2.17,few clouds
57,Talikota,IN,16.4833,76.3167,74.95,82,100,13.4,overcast clouds
58,Hami,CN,42.8,93.45,51.55,24,0,3.2,clear sky
59,Clyde River,CA,70.4692,-68.5914,28.2,79,95,11.9,overcast clouds
60,Washington,US,47.5001,-120.5015,66.0,30,100,3.8,overcast clouds
61,Okha,RU,53.5739,142.9478,30.42,87,100,23.85,light snow
62,Hualmay,PE,-11.0964,-77.6139,66.56,77,100,10.11,overcast clouds
63,Stanilesti,RO,46.6183,28.1714,45.09,66,19,1.81,light rain
64,Tevaitoa,PF,-16.7833,-151.5,79.95,78,15,17.98,light rain
65,Ushuaia,AR,-54.8,-68.3,46.06,76,75,11.5,broken clouds
66,Matara,LK,5.9485,80.5353,79.12,87,64,15.95,broken clouds
67,Touros,BR,-5.1989,-35.4608,81.5,73,10,15.77,clear sky
68,Torbay,CA,47.6666,-52.7314,43.39,92,90,10.36,overcast clouds
69,Kodiak,US,57.79,-152.4072,41.29,98,100,36.13,moderate rain
70,Victoria,HK,22.2855,114.1577,72.25,79,96,1.01,overcast clouds
71,Umm Lajj,SA,25.0213,37.2685,84.36,54,0,9.73,clear sky
72,Severo-Kurilsk,RU,50.6789,156.125,39.43,76,36,41.52,scattered clouds
73,Bredasdorp,ZA,-34.5322,20.0403,48.27,70,18,1.59,few clouds
74,Geraldton,AU,-28.7667,114.6,48.61,93,40,12.66,scattered clouds
75,Tomatlan,MX,19.9333,-105.25,90.3,59,4,7.31,clear sky
76,San Patricio,US,28.017,-97.5169,77.09,33,100,7.27,overcast clouds
77,Yaan,NG,7.3833,8.5667,75.47,88,46,4.97,scattered clouds
78,Stonewall,CA,50.1344,-97.3268,68.99,39,0,14.0,clear sky
79,Vaini,TO,-21.2,-175.2,77.16,88,40,9.22,scattered clouds
80,Khatanga,RU,71.9667,102.5,32.83,99,100,12.62,light snow
81,Qaanaaq,GL,77.484,-69.3632,24.48,84,100,9.53,overcast clouds
82,Abu Samrah,SY,35.3029,37.1841,65.52,74,0,14.7,clear sky
83,Melville,US,40.7934,-73.4151,64.17,56,75,4.0,broken clouds
84,Tuatapere,NZ,-46.1333,167.6833,50.02,93,100,9.24,overcast clouds
85,Georgetown,MY,5.4112,100.3354,78.89,90,20,0.0,few clouds
86,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,36.19,81,75,13.42,light intensity shower rain
87,Vozrozhdeniye,RU,44.5503,38.2136,51.24,83,33,3.65,scattered clouds
88,Itaituba,BR,-4.2761,-55.9836,89.76,70,75,11.5,thunderstorm
89,Ahipara,NZ,-35.1667,173.1667,61.75,91,22,6.35,few clouds
90,Hithadhoo,MV,-0.6,73.0833,81.7,79,78,12.84,broken clouds
91,Salmas,IR,38.1973,44.7653,59.99,30,0,9.69,clear sky
92,Poronaysk,RU,49.2167,143.1167,31.1,65,6,16.49,clear sky
93,Hasaki,JP,35.7333,140.8333,50.4,58,72,20.8,broken clouds
94,Mar Del Plata,AR,-38.0023,-57.5575,62.62,39,0,1.99,clear sky
95,Mahebourg,MU,-20.4081,57.7,73.26,75,47,16.78,scattered clouds
96,Vardo,NO,70.3705,31.1107,40.98,87,75,25.32,broken clouds
97,Norman Wells,CA,65.282,-126.8329,28.44,86,90,2.3,light snow
98,Krasnoselkup,RU,65.7,82.4667,38.77,94,100,14.2,overcast clouds
99,Avera,US,33.194,-82.5271,71.71,35,0,6.29,clear sky
100,Fortuna,US,40.5982,-124.1573,59.18,72,75,1.99,moderate rain
101,Lebu,CL,-37.6167,-73.65,55.35,72,0,19.3,clear sky
102,Dengzhou,CN,37.8086,120.7508,46.53,57,2,9.8,clear sky
103,Puerto Ayora,EC,-0.7393,-90.3518,78.76,83,96,8.01,light rain
104,Usinsk,RU,65.9939,57.5281,34.63,92,41,11.32,scattered clouds
105,Faya,SA,18.3851,42.4509,66.31,24,3,5.88,clear sky
106,Thunder Bay,CA,48.4001,-89.3168,63.55,41,20,12.66,few clouds
107,Boa Vista,BR,2.8197,-60.6733,96.78,36,20,5.75,few clouds
108,Port Augusta,AU,-32.5,137.7667,53.74,58,85,1.63,overcast clouds
109,Yulara,AU,-25.2406,130.9889,66.04,30,6,6.91,clear sky
110,Indiaroba,BR,-11.5192,-37.5117,79.07,68,79,5.95,broken clouds
111,Plettenberg Bay,ZA,-34.0527,23.3716,52.23,77,28,5.99,light rain
112,Cabo San Lucas,MX,22.8909,-109.9124,91.62,65,40,4.61,scattered clouds
113,Ludvika,SE,60.1496,15.1878,39.33,64,0,7.92,clear sky
114,Birao,CF,10.2849,22.7882,74.55,81,17,3.38,few clouds
115,Norrtalje,SE,59.758,18.705,43.84,57,0,11.05,clear sky
116,Hammelburg,DE,50.1167,9.9,49.33,91,100,1.36,overcast clouds
117,Den Helder,NL,52.9599,4.7593,55.38,83,90,13.0,overcast clouds
118,Pevek,RU,69.7008,170.3133,8.58,98,71,2.89,broken clouds
119,Padang,ID,-0.9492,100.3543,77.83,87,100,1.41,overcast clouds
120,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,33,0,14.97,clear sky
121,Richards Bay,ZA,-28.783,32.0377,60.62,89,100,15.61,moderate rain
122,Pinotepa Nacional,MX,16.3167,-98.0167,89.55,55,91,7.56,overcast clouds
123,Iqaluit,CA,63.7506,-68.5145,33.53,80,40,17.0,scattered clouds
124,Ambon,ID,-3.6954,128.1814,77.14,94,40,5.75,scattered clouds
125,Coihaique,CL,-45.5752,-72.0662,54.21,54,75,6.91,broken clouds
126,Sur,OM,22.5667,59.5289,80.26,41,0,6.85,clear sky
127,Linqiong,CN,30.4159,103.4609,55.22,83,100,1.07,overcast clouds
128,Bayir,TR,37.2687,28.2167,54.12,77,3,3.71,clear sky
