City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pevek,RU,2021-10-03 20:03:46,69.7008,170.3133,23.7,91,99,7.43
1,Jamestown,US,2021-10-03 20:00:17,42.097,-79.2353,68.02,97,90,8.01
2,Ushuaia,AR,2021-10-03 20:00:16,-54.8,-68.3,39.2,91,100,5.99
3,Port Alfred,ZA,2021-10-03 20:03:35,-33.5906,26.891,56.34,74,42,6.31
4,Faya,SA,2021-10-03 20:00:38,18.3851,42.4509,68.68,41,94,0.87
5,Mahebourg,MU,2021-10-03 20:01:06,-20.4081,57.7,73.26,80,19,16.31
6,Hay River,CA,2021-10-03 20:03:46,60.8156,-115.7999,49.3,52,86,11.1
7,Frederico Westphalen,BR,2021-10-03 20:01:46,-27.3592,-53.3944,68.63,93,99,3.74
8,Marystown,CA,2021-10-03 20:03:46,47.1666,-55.1483,58.86,100,20,3.0
9,Arraial Do Cabo,BR,2021-10-03 20:00:34,-22.9661,-42.0278,74.41,83,4,25.52
10,Brae,GB,2021-10-03 20:03:47,60.3964,-1.353,49.91,87,100,31.97
11,San Patricio,US,2021-10-03 20:03:47,28.017,-97.5169,92.12,50,78,7.74
12,Provideniya,RU,2021-10-03 20:00:37,64.3833,-173.3,30.31,74,75,4.47
13,Omsukchan,RU,2021-10-03 20:03:47,62.5333,155.8,24.75,91,100,10.4
14,Lagoa,PT,2021-10-03 20:01:23,39.05,-27.9833,70.74,92,54,12.66
15,Albany,US,2021-10-03 20:00:14,42.6001,-73.9662,66.09,88,100,1.3
16,Saint-Philippe,RE,2021-10-03 20:00:37,-21.3585,55.7679,71.22,83,43,15.01
17,Prykolotne,UA,2021-10-03 20:03:47,50.1604,37.3474,44.76,72,6,7.56
18,Ishigaki,JP,2021-10-03 20:03:48,24.3448,124.1572,83.08,69,0,18.19
19,Dukat,RU,2021-10-03 20:03:48,62.55,155.55,22.96,91,100,11.21
20,Bethel,US,2021-10-03 19:59:31,41.3712,-73.414,75.81,72,87,5.08
21,Kapaa,US,2021-10-03 19:59:57,22.0752,-159.319,78.78,78,17,4.0
22,Busselton,AU,2021-10-03 20:03:48,-33.65,115.3333,40.08,64,93,4.97
23,Fuerte Olimpo,PY,2021-10-03 19:59:47,-21.0415,-57.8738,94.48,40,89,13.85
24,Tessalit,ML,2021-10-03 20:02:12,20.1986,1.0114,90.55,11,99,11.23
25,Tuatapere,NZ,2021-10-03 20:00:39,-46.1333,167.6833,45.82,93,100,3.33
